Title,Author,ISBN,My Rating,Average Rating,Publisher,Binding,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,My Review,Media
Delirium,Tessa Reis,0553380958,3,,Riesa,,,,2022-05-30,,,,0
Manifesto do Partido Comunista,Karl Marx,9788544000083,0,,Martin Claret,,,,2022-05-30,,,,1
Manual Prático de Data Science,Mário Filho,0553380958,3.5,,Amazon Kindle,,,,2022-05-17,,,,0
Vingança & Sedução,Diane Bergher,0553380958,2.5,,Independente,,,,2022-04-01,,,,2
A Revolução dos Bichos,George Orwell,9788535909555,4,,Companhia das Letras,,,,2021-07-28,,,,1
Sal,Tessa Reis,0553380958,4,,Riesa Editora,,,,2021-07-20,,,,1
Gastaria Tudo com Pizza,Pedro Duarte,9788593695452,3,,Pipoca & Nanquim,,,,2019-08-01,,,,0
Sejamos todos feministas,Chimamanda Ngozi Adichie,9788543801728,5,,Companhia das Letras,,,,2019-08-01,,,,0
Storytelling com Dados,Cole Nussbaumer Knaflic,9788550800783,5,,Alta Books,,,,2019-08-01,,,,0
Aprendendo a aprender para crianças e adolescentes,Barbara Oakley,9788546501663,0,,Best Seller,,,,2019-08-01,,,,0
A Esperança,Suzanne Collins,9788579800863,0,,Rocco Jovens Leitores,,,,2018-10-01,,,,0
Me Poupe!,Nathalia Arcuri,9788543105819,0,,Editora Sextante,,,,2018-08-01,,,,0
Pequena Abelha,Chris Cleave,9788598078939,4,,Intrínseca,,,,2018-08-01,,,,0
Como Mentir com Estatistica,Darrel Huff,9788580579529,4,,Intrínseca,,,,2018-08-01,,,,0
Tudo e Todas as Coisas,Nicola Yoon,9788581637884,4,,Novo Conceito,,,,2017-08-01,,,,0
Harry Potter e as Relíquias da Morte,Joanne Kathleen Rowling,9788532522610,0,,Rocco,,,,2010-08-01,,,,0
Fortaleza Digital,Dan Brown,8575421611,4.5,,Sextante,,,,2010-08-01,,,,0
As Crônicas de Nárnia,Clive Staples Lewis ,9788578270698,5,,WMF Martins Fontes,,,,2010-08-01,,,,0
O Caçador de Pipas,Khaled Hosseini,9788520917671,0,,Nova Fronteira,,,,2009-08-01,,,,0
